Date,LQQ3_Price,Target_Allocation,Actual_Allocation,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount,Signal_Count,MACD_Bullish,SMA_Bullish,Daily_Return,Cumulative_Return,BuyHold_Value,BuyHold_Return
2018-06-29,2911.883056640625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,419404.0297560138,HOLD,0.0,1.0,0.0,1.0,0.02450543241389247,662.5527813745706,534329.6916240891,871.5085302256167
2018-07-02,2863.743896484375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,412470.455376178,HOLD,0.0,1.0,0.0,1.0,-0.016531968908046424,649.9462825021419,525496.1697755136,855.4475814100247
2018-07-03,2908.885986328125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,418972.3560445102,HOLD,0.0,1.0,0.0,1.0,0.015763312459318835,661.7679200809276,533779.7300958602,870.5086001742914
2018-07-04,2816.180908203125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,405619.86812237254,HOLD,0.0,1.0,0.0,1.0,-0.03186961557129353,637.4906693134046,516768.3752979564,839.5788641781027
2018-07-05,2874.75,1.0,1.0,1.4551915228366852e-11,144.03189331369336,414055.68530353997,HOLD,0.0,1.0,0.0,1.0,0.020797347083162165,652.828518733709,527515.7865606297,859.1196119284177
2018-07-06,3005.300048828125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,432859.05600844993,HOLD,0.0,1.0,0.0,1.0,0.045412661562961976,687.016465469909,551471.6824448274,902.6757862633225
2018-07-09,3094.235107421875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,445668.540879672,HOLD,0.0,1.0,0.0,1.0,0.029592738544834685,710.30643796304,567791.2397582973,932.3477086514497
2018-07-10,3133.593994140625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,451337.47585249273,HOLD,0.0,2.0,1.0,1.0,0.012720069856470673,720.6135924590777,575013.5839919149,945.4792436216634
2018-07-11,3086.318115234375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,444528.2415055567,HOLD,0.0,2.0,1.0,1.0,-0.015086791395008015,708.2331663737394,566338.4740009329,929.7063163653326
2018-07-12,3205.48388671875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,461691.9131906381,HOLD,0.0,2.0,1.0,1.0,0.03861098144619657,739.4398421647966,588205.3583128502,969.4642878415459
2018-07-13,3277.419921875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,472052.99653167324,HOLD,0.0,2.0,1.0,1.0,0.022441552570050982,758.2781755121332,601405.5997834137,993.4647268789339
2018-07-16,3253.154052734375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,468557.9374564467,HOLD,0.0,2.0,1.0,1.0,-0.007403954854446115,751.9235226480848,596952.8198734061,985.3687634061929
2018-07-17,3254.01708984375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,468682.24232530996,HOLD,0.0,2.0,1.0,1.0,0.000265292419413532,752.1495315005635,597111.1869312661,985.656703511393
2018-07-18,3324.83203125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,478881.8524109504,HOLD,0.0,2.0,1.0,1.0,0.021762313918778586,770.6942771108188,610105.7080256788,1009.2831055012342
2018-07-19,3317.839111328125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,477874.64891481167,HOLD,0.0,2.0,1.0,1.0,-0.002103240060294498,768.8629980269303,608822.5092595449,1006.9500168355362
2018-07-20,3317.4599609375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,477820.03916619933,HOLD,0.0,2.0,1.0,1.0,-0.00011427630391436239,768.7637075749078,608752.9352734468,1006.8235186789943
2018-07-23,3246.236083984375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,467561.5293194992,HOLD,0.0,2.0,1.0,1.0,-0.02146940062330016,750.1118714899986,595683.3746254513,983.0606811371842
2018-07-24,3352.761962890625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,482904.65334527165,HOLD,0.0,2.0,1.0,1.0,0.0328151977090656,778.0084606277667,615230.8423357889,1018.6015315196162
2018-07-25,3353.23095703125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,482972.2034592989,HOLD,0.0,2.0,1.0,1.0,0.00013988292214484055,778.1312790169071,615316.9026238084,1018.7580047705607
2018-07-26,3340.197021484375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,481094.90104515385,HOLD,0.0,2.0,1.0,1.0,-0.00388697817534589,774.7180019002798,612925.1792523882,1014.4094168225239
2018-07-27,3340.197021484375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,481094.90104515385,HOLD,0.0,1.0,0.0,1.0,0.0,774.7180019002798,612925.1792523882,1014.4094168225239
2018-07-30,3340.197021484375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,481094.90104515385,HOLD,0.0,1.0,0.0,1.0,0.0,774.7180019002798,612925.1792523882,1014.4094168225239
2018-07-31,3340.197021484375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,481094.90104515385,HOLD,0.0,1.0,0.0,1.0,0.0,774.7180019002798,612925.1792523882,1014.4094168225239
2018-08-01,3340.197021484375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,481094.90104515385,HOLD,0.0,1.0,0.0,1.0,0.0,774.7180019002798,612925.1792523882,1014.4094168225239
2018-08-02,3340.197021484375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,481094.90104515385,HOLD,0.0,1.0,0.0,1.0,0.0,774.7180019002798,612925.1792523882,1014.4094168225239
2018-08-03,3296.14599609375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,474750.1484557325,HOLD,0.0,1.0,0.0,1.0,-0.0131881518087964,763.1820881013318,604841.828940974,999.7124162563163
2018-08-06,3346.02587890625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,481934.4424154821,HOLD,0.0,1.0,0.0,1.0,0.01513278928530859,776.244440755422,613994.7728892784,1016.3541325259606
