Signal_Source,Strategy,Parameters,Total_Return_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Final_Value,Num_Trades,Trades_Per_Year,Time_in_Market_Pct,Win_Rate_Pct,Meets_Drawdown_Constraint
QQQ,macd,"fast=12, slow=32, signal=12",4701.89,-54.64,1.01,2641038.08,239,19.08,53.82,26.89,False
TQQQ,macd,"fast=16, slow=26, signal=12",4600.15,-56.63,1.0,2585081.78,213,17.0,55.31,29.25,False
QQQ,macd,"fast=16, slow=20, signal=12",4572.61,-56.28,1.01,2569933.76,223,17.8,52.88,31.53,False
TQQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.6",4383.89,-34.34,1.18,2466141.9,232,18.52,42.62,55.17,False
TQQQ,weighted,"MACD=0.6, SMA=0.4, threshold=0.6",4383.89,-34.34,1.18,2466141.9,232,18.52,42.62,55.17,False
TQQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.5",4383.89,-34.34,1.18,2466141.9,232,18.52,42.62,55.17,False
TQQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.6",4383.89,-34.34,1.18,2466141.9,232,18.52,42.62,55.17,False
TQQQ,and,Default,4383.89,-34.34,1.18,2466141.9,232,18.52,42.62,55.17,False
QQQ,macd,"fast=16, slow=26, signal=12",4131.82,-56.86,0.99,2327501.06,219,17.48,53.98,27.52,False
TQQQ,macd,"fast=16, slow=32, signal=12",3412.09,-55.78,0.94,1931651.8,211,16.84,55.63,24.76,False
QQQ,variable,Default,3378.76,-45.26,0.97,1913315.33,62,4.95,92.42,41.94,False
QQQ,macd,"fast=16, slow=32, signal=12",2478.62,-61.33,0.88,1418240.95,213,17.0,54.21,26.42,False
