Date,LQQ3_Price,Signal,Cash,Shares,Portfolio_Value,Trade_Type,Daily_Return,Cumulative_Return,BuyHold_Value,BuyHold_Return
2013-07-12,454.343994140625,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,83371.99041244977,51.58543711354504
2013-07-15,454.61199951171875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,83421.16931987998,51.67485330887269
2013-07-16,453.531005859375,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,83222.80729995367,51.314195090824846
2013-07-17,456.9580078125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,83851.66115884489,52.45756574335434
2013-07-18,453.6180114746094,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,83238.77280497343,51.34322328176988
2013-07-19,439.04998779296875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,80565.5447082504,46.482808560455254
2013-07-22,443.4320068359375,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,81369.64392459106,47.9448071356201
2013-07-23,433.0329895019531,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,79461.42727674537,44.47532232135521
2013-07-24,437.2099914550781,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,80227.90591689425,45.86891984889863
2013-07-25,446.03399658203125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,81847.10828411217,48.81292415293122
2013-07-26,452.3699951171875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,83009.76216737852,50.92684030432457
2013-07-29,449.1709899902344,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,82422.7456595931,49.85953756289654
2013-07-30,456.37200927734375,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,83744.13059855397,52.26205563373447
2013-07-31,458.5,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,84134.61627551918,52.97202959185305
2013-08-01,474.54998779296875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,87079.78435444653,58.326880644448245
2013-08-02,482.364990234375,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,88513.83502314874,60.93424549663409
2013-08-05,482.510009765625,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,88540.44606483723,60.98262920879498
2013-08-06,472.86199951171875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,86770.03899714982,57.763707267545136
2013-08-07,471.2829895019531,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,86480.29112088628,57.236892947065954
2013-08-08,477.3039855957031,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,87585.14214802708,59.24571299641288
2013-08-09,471.99200439453125,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,86610.3951468856,57.473445721610176
2013-08-12,475.2510070800781,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,87208.4211891743,58.560765798498736
2013-08-13,482.6759948730469,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,88570.90428363852,61.03800778843367
2013-08-14,477.4540100097656,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,87612.67158425196,59.29576651682176
2013-08-15,453.0710144042969,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,83138.39900210631,51.16072545837511
2013-08-16,452.0220031738281,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,82945.90574726617,50.810737722302115
2013-08-19,450.13299560546875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,82599.27340941346,50.18049710802448
2013-08-20,455.66400146484375,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,83614.21137145525,52.02583885719137
2013-08-21,450.8919982910156,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,82738.55018084329,50.43372760153326
2013-08-22,464.2619934082031,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,85191.94038540192,54.89443706436712
2013-08-23,474.31500244140625,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,87036.6646109698,58.248481110854186
2013-08-27,444.82000732421875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,81624.34160937137,48.40789383522068
2013-08-28,450.34100341796875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,82637.4427823404,50.249895967891625
2013-08-29,459.6319885253906,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,84342.3358397766,53.34970152686653
2013-08-30,451.06201171875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,82769.74759524703,50.49045017317641
2013-09-03,458.86199951171875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,84201.04308034008,53.092805600618334
2013-09-04,473.4590148925781,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,86879.59114541413,57.96289299166206
2013-09-05,475.8869934082031,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,87325.12449489573,58.77295362708315
2013-09-06,477.4289855957031,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,87608.07961157002,59.28741747558186
2013-09-09,494.11199951171875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,90669.40779945033,64.85346872627333
2013-09-10,501.1650085449219,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,91963.63289998754,67.2066052727046
2013-09-11,498.781005859375,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,91526.16910249945,66.411216549999
2013-09-12,496.75799560546875,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,91154.94731093163,65.7362678380575
2013-09-13,498.00201416015625,0.0,55000.0,0.0,55000.0,HOLD,0.0,0.0,91383.22435289076,66.15131700525592
