,Date,LQQ3_Price,Bullish_Count,Target_Allocation,Actual_Allocation,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount
1000,2016-12-21,1488.3809814453125,2.0,1.0,1.0,0.0,93.71039177089911,139476.76487559555,HOLD,0.0
1001,2016-12-22,1475.1309814453125,2.0,1.0,1.0,0.0,93.71039177089911,138235.10218463113,HOLD,0.0
1002,2016-12-23,1475.1309814453125,2.0,1.0,1.0,0.0,93.71039177089911,138235.10218463113,HOLD,0.0
1003,2016-12-28,1466.7679443359375,2.0,1.0,1.0,0.0,93.71039177089911,137451.39870071705,HOLD,0.0
1004,2016-12-29,1459.4639892578125,1.0,0.66,0.66,46500.76035101542,61.84885856879341,136766.9422088689,SELL,31.861533202105697
1005,2016-12-30,1411.001953125,1.0,0.66,0.6523817579367139,46500.76035101542,61.84885856879341,133769.62059013481,HOLD,0.0
1006,2017-01-03,1451.9119873046875,1.0,0.66,0.6588348622015129,46500.76035101542,61.84885856879341,136299.8595081588,HOLD,0.0
1007,2017-01-04,1475.4189453125,1.0,0.66,0.662435582393399,46500.76035101542,61.84885856879341,137753.73802936656,HOLD,0.0
1008,2017-01-05,1500.137939453125,1.0,0.66,0.6661408735829437,46500.76035101542,61.84885856879341,139282.57960193293,HOLD,0.0
1009,2017-01-06,1538.2110595703125,2.0,1.0,1.0,0.0,92.07927464966923,141637.3586233335,BUY,30.230416080875827
1010,2017-01-09,1554.1600341796875,2.0,1.0,1.0,0.0,92.07927464966923,143105.92863677075,HOLD,0.0
1011,2017-01-10,1563.52294921875,2.0,1.0,1.0,0.0,92.07927464966923,143968.0590621741,HOLD,0.0
1012,2017-01-11,1577.3809814453125,2.0,1.0,1.0,0.0,92.07927464966923,145244.09661766773,HOLD,0.0
1013,2017-01-12,1568.98095703125,2.0,1.0,1.0,0.0,92.07927464966923,144470.62846258134,HOLD,0.0
1014,2017-01-13,1585.7080078125,2.0,1.0,1.0,0.0,92.07927464966923,146010.84316554703,HOLD,0.0
1015,2017-01-17,1571.0810546875,2.0,1.0,1.0,0.0,92.07927464966923,144664.00393146233,HOLD,0.0
1016,2017-01-18,1581.383056640625,2.0,1.0,1.0,0.0,92.07927464966923,145612.60479874554,HOLD,0.0
1017,2017-01-19,1576.822021484375,2.0,1.0,1.0,0.0,92.07927464966923,145192.6279899064,HOLD,0.0
1018,2017-01-20,1587.9239501953125,2.0,1.0,1.0,0.0,92.07927464966923,146214.88553282188,HOLD,0.0
1019,2017-01-23,1589.7840576171875,2.0,1.0,1.0,0.0,92.07927464966923,146386.16287499858,HOLD,0.0
1020,2017-01-24,1622.9100341796875,2.0,1.0,1.0,0.0,92.07927464966923,149436.37876893554,HOLD,0.0
1021,2017-01-26,1675.9849853515625,2.0,1.0,1.0,0.0,92.07927464966923,154323.48177490837,HOLD,0.0
1022,2017-01-27,1686.9630126953125,2.0,1.0,1.0,0.0,92.07927464966923,155334.3305698051,HOLD,0.0
1023,2017-01-30,1648.70703125,2.0,1.0,1.0,0.0,92.07927464966923,151811.74754730955,HOLD,0.0
1024,2017-01-31,1636.4549560546875,2.0,1.0,1.0,0.0,92.07927464966923,150683.58535037196,HOLD,0.0
1025,2017-02-01,1670.7490234375,2.0,1.0,1.0,0.0,92.07927464966923,153841.3581997682,HOLD,0.0
1026,2017-02-02,1665.7359619140625,2.0,1.0,1.0,0.0,92.07927464966923,153379.75913091592,HOLD,0.0
1027,2017-02-03,1679.802001953125,2.0,1.0,1.0,0.0,92.07927464966923,154674.949894906,HOLD,0.0
1028,2017-02-06,1685.5439453125,2.0,1.0,1.0,0.0,92.07927464966923,155203.66387451673,HOLD,0.0
1029,2017-02-07,1703.1180419921875,2.0,1.0,1.0,0.0,92.07927464966923,156821.87394940553,HOLD,0.0
1030,2017-02-08,1713.615966796875,2.0,1.0,1.0,0.0,92.07927464966923,157788.51525074794,HOLD,0.0
1031,2017-02-09,1730.7080078125,2.0,1.0,1.0,0.0,92.07927464966923,159362.33798974907,HOLD,0.0
1032,2017-02-10,1745.0489501953125,2.0,1.0,1.0,0.0,92.07927464966923,160682.84156215115,HOLD,0.0
1033,2017-02-13,1775.510009765625,2.0,1.0,1.0,0.0,92.07927464966923,163487.67383244587,HOLD,0.0
1034,2017-02-14,1791.780029296875,2.0,1.0,1.0,0.0,92.07927464966923,164985.80542941933,HOLD,0.0
1035,2017-02-15,1823.5679931640625,2.0,1.0,1.0,0.0,92.07927464966923,167912.81808489986,HOLD,0.0
1036,2017-02-16,1821.6180419921875,2.0,1.0,1.0,0.0,92.07927464966923,167733.26799539133,HOLD,0.0
1037,2017-02-17,1846.323974609375,2.0,1.0,1.0,0.0,92.07927464966923,170008.17235032556,HOLD,0.0
1038,2017-02-21,1872.6070556640625,2.0,1.0,1.0,0.0,92.07927464966923,172428.29938939965,HOLD,0.0
1039,2017-02-22,1874.10302734375,2.0,1.0,1.0,0.0,92.07927464966923,172566.0473765617,HOLD,0.0
1040,2017-02-23,1853.176025390625,2.0,1.0,1.0,0.0,92.07927464966923,170639.10421612576,HOLD,0.0
1041,2017-02-24,1864.4959716796875,2.0,1.0,1.0,0.0,92.07927464966923,171681.43665949584,HOLD,0.0
1042,2017-02-27,1868.85595703125,2.0,1.0,1.0,0.0,92.07927464966923,172082.9009481509,HOLD,0.0
1043,2017-02-28,1850.6400146484375,2.0,1.0,1.0,0.0,92.07927464966923,170405.59018648136,HOLD,0.0
1044,2017-03-01,1914.1700439453125,2.0,1.0,1.0,0.0,92.07927464966923,176255.38920260986,HOLD,0.0
1045,2017-03-02,1884.4429931640625,2.0,1.0,1.0,0.0,92.07927464966923,173518.14392919847,HOLD,0.0
1046,2017-03-03,1895.0279541015625,1.0,0.66,0.66,59327.55181453632,60.77232126878169,174492.79945451854,SELL,31.306953380887542
1047,2017-03-06,1880.58203125,1.0,0.66,0.6582807340154907,59327.55181453632,60.77232126878169,173614.88718995935,HOLD,0.0
1048,2017-03-07,1870.91796875,1.0,0.66,0.6571208363162773,59327.55181453632,60.77232126878169,173027.57967894778,HOLD,0.0
1049,2017-03-08,1879.907958984375,1.0,0.66,0.6582000853340721,59327.55181453632,60.77232126878169,173573.92225367442,HOLD,0.0
1050,2017-03-09,1884.1180419921875,1.0,0.66,0.6587031736790979,59327.55181453632,60.77232126878169,173829.77877079346,HOLD,0.0
1051,2017-03-10,1907.030029296875,1.0,0.66,0.6614153112961245,59327.55181453632,60.77232126878169,175222.19342418015,HOLD,0.0
1052,2017-03-13,1915.926025390625,1.0,0.66,0.6624567667584335,59327.55181453632,60.77232126878169,175762.82375679538,HOLD,0.0
1053,2017-03-14,1902.958984375,1.0,0.66,0.6609365670559177,59327.55181453632,60.77232126878169,174974.78657428833,HOLD,0.0
1054,2017-03-15,1938.9300537109375,1.0,0.66,0.6651203815234248,59327.55181453632,60.77232126878169,177160.83195635356,HOLD,0.0
1055,2017-03-16,1934.511962890625,1.0,0.66,0.6646120814559066,59327.55181453632,60.77232126878169,176892.33432162687,HOLD,0.0
1056,2017-03-17,1564.3900146484375,1.0,0.66,0.6157521185110548,59327.55181453632,60.77232126878169,154399.16437442525,HOLD,0.0
1057,2017-03-20,1569.491943359375,1.0,0.66,0.6165221978915942,59327.55181453632,60.77232126878169,154709.22042513677,HOLD,0.0
1058,2017-03-21,1569.491943359375,1.0,0.66,0.6165221978915942,59327.55181453632,60.77232126878169,154709.22042513677,HOLD,0.0
