Date,LQQ3_Price,TQQQ_Price,Signal,Cash,Shares,Portfolio_Value,Trade_Type,Daily_Return,BuyHold_Value
2015-12-23,1321.425048828125,4.6671319007873535,0.0,97224.00045281621,37.07419750579244,146214.77370217154,HOLD,0.007599452901956516,242481.11105782658
2015-12-24,1319.781005859375,4.657534599304199,0.0,97224.00045281621,37.07419750579244,146153.82212844008,HOLD,-0.00041686330449497433,242179.4296525567
2015-12-29,1377.989013671875,4.8686933517456055,1.0,0.0,107.62918705084483,148311.83730649942,BUY,0.01476536943497031,252860.5821094097
2015-12-30,1343.468994140625,4.744317531585693,1.0,0.0,107.62918705084483,144596.47566737168,HOLD,-0.025051012155217434,246526.16859341157
2015-12-31,1292.489990234375,4.568349361419678,1.0,0.0,107.62918705084483,139109.64692028015,HOLD,-0.03794579862176839,237171.53624496984
2016-01-05,1201.3330078125,4.250809669494629,0.0,0.0,107.62918705084483,129298.4950082056,HOLD,-0.07052819217992157,220444.25655707734
2016-01-06,1168.968994140625,4.136829853057861,0.0,0.0,107.62918705084483,125815.18252699927,HOLD,-0.026940085273113756,214505.46948746152
2016-01-07,1059.8179931640625,3.7433032989501953,0.0,0.0,107.62918705084483,114067.34902610588,HOLD,-0.09337373490971468,194476.2926428554
2016-01-08,1033.93994140625,3.654920816421509,0.0,0.0,107.62918705084483,111282.11535295282,HOLD,-0.024417448962679167,189727.67769279744
2016-01-11,1042.988037109375,3.6869142055511475,0.0,0.0,107.62918705084483,112255.95453783842,HOLD,0.008751084410975496,191388.00061538542
2016-01-12,1079.5589599609375,3.811290740966797,0.0,0.0,107.62918705084483,116192.05323405126,HOLD,0.03506360720389301,198098.75429250175
2016-01-13,966.9569702148438,3.4125657081604004,0.0,0.0,107.62918705084483,104072.79261737161,HOLD,-0.10430369615955781,177436.32201518977
2016-01-14,1029.196044921875,3.63332462310791,0.0,0.0,107.62918705084483,110771.53363088619,HOLD,0.06436591970912908,188857.1740715026
2016-01-15,933.8250122070312,3.299386501312256,0.0,0.0,107.62918705084483,100506.82691158802,HOLD,-0.09266556472443821,171356.6173839053
2016-01-19,937.6099853515625,3.3133833408355713,0.0,0.0,107.62918705084483,100914.20049414321,HOLD,0.004053193151879464,172051.15885201498
2016-01-20,930.2219848632812,3.2833893299102783,0.0,0.0,107.62918705084483,100119.03600765824,HOLD,-0.007879609436445167,170695.46291717334
2016-01-21,934.4180297851562,3.295387029647827,0.0,0.0,107.62918705084483,100570.65291142848,HOLD,0.004510799561990186,171465.43593653385
