Signal_Source,Strategy,Parameters,Total_Return_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Final_Value,Num_Trades,Trades_Per_Year,Time_in_Market_Pct,Win_Rate_Pct,Meets_Drawdown_Constraint
TQQQ,macd,"fast=16, slow=20, signal=12",4885.42,-56.15,1.01,2741981.28,227,18.11,54.32,30.09,False
QQQ,macd,"fast=12, slow=32, signal=12",4722.4,-54.64,1.01,2652319.99,239,19.07,53.8,26.89,False
TQQQ,macd,"fast=16, slow=26, signal=12",4620.47,-56.63,1.0,2596259.39,213,17.0,55.29,29.25,False
QQQ,macd,"fast=16, slow=20, signal=12",4592.58,-56.28,1.01,2580920.58,223,17.8,52.87,31.53,False
TQQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.6",4403.05,-34.34,1.18,2476676.69,232,18.51,42.6,55.17,False
TQQQ,weighted,"MACD=0.6, SMA=0.4, threshold=0.6",4403.05,-34.34,1.18,2476676.69,232,18.51,42.6,55.17,False
TQQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.5",4403.05,-34.34,1.18,2476676.69,232,18.51,42.6,55.17,False
TQQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.6",4403.05,-34.34,1.18,2476676.69,232,18.51,42.6,55.17,False
TQQQ,and,Default,4403.05,-34.34,1.18,2476676.69,232,18.51,42.6,55.17,False
QQQ,macd,"fast=16, slow=26, signal=12",4149.9,-56.86,0.99,2337443.61,219,17.48,53.97,27.52,False
TQQQ,macd,"fast=16, slow=32, signal=12",3427.14,-55.78,0.94,1939925.86,211,16.84,55.62,24.76,False
QQQ,variable,Default,3408.42,-45.26,0.98,1929628.31,62,4.95,92.42,41.94,False
QQQ,macd,"fast=16, slow=32, signal=12",2489.77,-61.33,0.88,1424373.27,213,17.0,54.19,26.42,False
