combination_id,matches_correct,current_price_live,rsi_live,moving_average_live,moving_average_return_live,cumulative_return_live,exponential_moving_average_price_live,max_drawdown_live,stdev_return_live,allocation,error
38,False,False,False,True,False,False,True,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
39,False,False,False,True,False,False,True,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
40,False,False,False,True,False,True,False,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
41,False,False,False,True,False,True,False,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
42,False,False,False,True,False,True,False,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
43,False,False,False,True,False,True,False,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
44,False,False,False,True,False,True,True,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
45,False,False,False,True,False,True,True,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
46,False,False,False,True,False,True,True,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
47,False,False,False,True,False,True,True,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
48,False,False,False,True,True,False,False,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
49,False,False,False,True,True,False,False,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
50,False,False,False,True,True,False,False,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
51,False,False,False,True,True,False,False,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
52,False,False,False,True,True,False,True,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
53,False,False,False,True,True,False,True,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
54,False,False,False,True,True,False,True,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
55,False,False,False,True,True,False,True,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
56,False,False,False,True,True,True,False,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
57,False,False,False,True,True,True,False,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
58,False,False,False,True,True,True,False,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
